car_id,plate_number,model,weight_kg,first_registration
C1,XYZ-1000,Corolla,1300,2/25/2023
C2,XYZ-1001,Corolla,1300,11/20/2024
C3,XYZ-1002,Mirai,1700,10/31/2024
C4,XYZ-1003,Corolla,1300,10/23/2024
C5,XYZ-1004,Tesla,1800,4/11/2023
C6,XYZ-1005,Camry,,3/4/2023
C7,XYZ-1006,Mirai,1700,2/17/2024
C8,XYZ-1007,BYD,1600,12/14/2023
C9,XYZ-1008,Camry,1500,4/22/2023
C10,XYZ-1009,Tesla,1800,9/12/2023
C11,XYZ-1010,Camry,,7/16/2023
C12,XYZ-1011,Tesla,1800,7/14/2023
C13,XYZ-1012,Tesla,1800,7/3/2024
C14,XYZ-1013,BYD,1600,4/4/2024
C15,XYZ-1014,Camry,,5/24/2023
C16,XYZ-1015,BYD,1600,3/8/2024
C17,XYZ-1016,BYD,1600,7/7/2023
C18,XYZ-1017,Camry,,10/13/2023
C19,XYZ-1018,Corolla,1300,4/18/2024
C20,XYZ-1019,Corolla,1300,9/13/2023
C21,XYZ-1020,BYD,1600,3/19/2023
C22,XYZ-1021,Mirai,1700,3/29/2024
C23,XYZ-1022,BYD,1600,7/17/2024
C24,XYZ-1023,BYD,1600,4/11/2023
C25,XYZ-1024,BYD,1600,2/21/2023
