driver_id,car_id,shift_start,shift_end
D6,C1,2025-01-01 08:59:00,2025-01-01 15:59:00
D27,C2,2025-01-01 08:31:00,2025-01-01 17:31:00
D26,C3,2025-01-01 08:57:00,2025-01-01 14:57:00
D25,C4,2025-01-01 08:00:00,2025-01-01 17:00:00
D30,C5,2025-01-01 08:27:00,2025-01-01 17:27:00
D19,C5,2025-01-01 08:09:00,2025-01-01 15:09:00
D14,C6,2025-01-01 08:37:00,2025-01-01 14:37:00
D4,C6,2025-01-01 08:47:00,2025-01-01 16:47:00
D4,C7,2025-01-01 08:37:00,2025-01-01 17:37:00
D4,C8,2025-01-01 08:32:00,2025-01-01 14:32:00
D5,C9,2025-01-01 08:38:00,2025-01-01 14:38:00
D26,C10,2025-01-01 08:07:00,2025-01-01 15:07:00
D40,C11,2025-01-01 08:05:00,2025-01-01 17:05:00
D17,C12,2025-01-01 08:42:00,2025-01-01 16:42:00
D14,C12,2025-01-01 08:15:00,2025-01-01 16:15:00
D9,C13,2025-01-01 08:41:00,2025-01-01 16:41:00
D43,C13,2025-01-01 08:29:00,2025-01-01 16:29:00
D1,C14,2025-01-01 08:29:00,2025-01-01 14:29:00
D35,C15,2025-01-01 08:13:00,2025-01-01 16:13:00
D23,C16,2025-01-01 08:56:00,2025-01-01 14:56:00
D24,C17,2025-01-01 08:18:00,2025-01-01 15:18:00
D35,C18,2025-01-01 08:19:00,2025-01-01 14:19:00
D46,C18,2025-01-01 08:42:00,2025-01-01 16:42:00
D9,C19,2025-01-01 08:16:00,2025-01-01 14:16:00
D48,C20,2025-01-01 08:35:00,2025-01-01 15:35:00
D19,C21,2025-01-01 08:13:00,2025-01-01 16:13:00
D39,C21,2025-01-01 08:13:00,2025-01-01 16:13:00
D17,C22,2025-01-01 08:05:00,2025-01-01 17:05:00
D4,C22,2025-01-01 08:53:00,2025-01-01 16:53:00
D1,C23,2025-01-01 08:21:00,2025-01-01 15:21:00
D11,C24,2025-01-01 08:28:00,2025-01-01 17:28:00
D48,C24,2025-01-01 08:35:00,2025-01-01 14:35:00
D5,C25,2025-01-01 09:00:00,2025-01-01 16:00:00
D24,C1,2025-01-02 08:37:00,2025-01-02 15:37:00
D9,C2,2025-01-02 08:19:00,2025-01-02 16:19:00
D3,C2,2025-01-02 08:57:00,2025-01-02 14:57:00
D14,C3,2025-01-02 08:15:00,2025-01-02 14:15:00
D44,C3,2025-01-02 08:22:00,2025-01-02 17:22:00
D16,C4,2025-01-02 08:55:00,2025-01-02 15:55:00
D27,C5,2025-01-02 08:01:00,2025-01-02 15:01:00
D27,C6,2025-01-02 08:55:00,2025-01-02 15:55:00
D43,C6,2025-01-02 08:17:00,2025-01-02 15:17:00
D25,C7,2025-01-02 08:55:00,2025-01-02 14:55:00
D15,C8,2025-01-02 08:52:00,2025-01-02 17:52:00
D13,C8,2025-01-02 08:22:00,2025-01-02 16:22:00
D15,C9,2025-01-02 08:01:00,2025-01-02 15:01:00
D22,C10,2025-01-02 08:55:00,2025-01-02 14:55:00
D18,C10,2025-01-02 08:49:00,2025-01-02 16:49:00
D42,C11,2025-01-02 08:25:00,2025-01-02 16:25:00
D33,C11,2025-01-02 09:00:00,2025-01-02 15:00:00
D17,C12,2025-01-02 08:11:00,2025-01-02 16:11:00
D7,C13,2025-01-02 08:38:00,2025-01-02 17:38:00
D47,C14,2025-01-02 08:27:00,2025-01-02 14:27:00
D21,C14,2025-01-02 08:24:00,2025-01-02 15:24:00
D3,C15,2025-01-02 08:27:00,2025-01-02 14:27:00
D46,C15,2025-01-02 08:33:00,2025-01-02 15:33:00
D28,C16,2025-01-02 09:00:00,2025-01-02 17:00:00
D5,C16,2025-01-02 08:39:00,2025-01-02 16:39:00
D47,C17,2025-01-02 08:57:00,2025-01-02 16:57:00
D43,C18,2025-01-02 08:20:00,2025-01-02 17:20:00
D27,C18,2025-01-02 08:44:00,2025-01-02 16:44:00
D13,C19,2025-01-02 08:26:00,2025-01-02 17:26:00
D40,C20,2025-01-02 08:36:00,2025-01-02 16:36:00
D36,C21,2025-01-02 08:19:00,2025-01-02 16:19:00
D1,C21,2025-01-02 08:13:00,2025-01-02 17:13:00
D30,C22,2025-01-02 08:28:00,2025-01-02 15:28:00
D29,C22,2025-01-02 08:32:00,2025-01-02 17:32:00
D43,C23,2025-01-02 08:05:00,2025-01-02 16:05:00
D6,C24,2025-01-02 08:15:00,2025-01-02 16:15:00
D49,C24,2025-01-02 08:14:00,2025-01-02 15:14:00
D2,C25,2025-01-02 08:02:00,2025-01-02 15:02:00
D40,C1,2025-01-03 08:04:00,2025-01-03 17:04:00
D50,C1,2025-01-03 08:26:00,2025-01-03 15:26:00
D32,C2,2025-01-03 08:15:00,2025-01-03 15:15:00
D26,C2,2025-01-03 08:41:00,2025-01-03 14:41:00
D50,C3,2025-01-03 08:27:00,2025-01-03 15:27:00
D45,C4,2025-01-03 08:33:00,2025-01-03 17:33:00
D36,C5,2025-01-03 08:15:00,2025-01-03 14:15:00
D9,C6,2025-01-03 08:42:00,2025-01-03 16:42:00
D30,C6,2025-01-03 09:00:00,2025-01-03 18:00:00
D36,C7,2025-01-03 08:57:00,2025-01-03 15:57:00
D29,C7,2025-01-03 08:47:00,2025-01-03 17:47:00
D17,C8,2025-01-03 08:15:00,2025-01-03 16:15:00
D49,C8,2025-01-03 08:49:00,2025-01-03 17:49:00
D18,C9,2025-01-03 08:28:00,2025-01-03 14:28:00
D16,C10,2025-01-03 08:21:00,2025-01-03 16:21:00
D18,C10,2025-01-03 08:57:00,2025-01-03 14:57:00
D10,C11,2025-01-03 08:14:00,2025-01-03 17:14:00
D46,C12,2025-01-03 08:13:00,2025-01-03 14:13:00
D27,C13,2025-01-03 08:34:00,2025-01-03 17:34:00
D22,C13,2025-01-03 08:26:00,2025-01-03 14:26:00
D27,C14,2025-01-03 08:24:00,2025-01-03 14:24:00
D31,C15,2025-01-03 09:00:00,2025-01-03 17:00:00
D1,C15,2025-01-03 08:19:00,2025-01-03 17:19:00
D35,C16,2025-01-03 08:47:00,2025-01-03 15:47:00
D48,C16,2025-01-03 08:31:00,2025-01-03 15:31:00
D28,C17,2025-01-03 08:01:00,2025-01-03 17:01:00
D32,C17,2025-01-03 08:21:00,2025-01-03 17:21:00
D30,C18,2025-01-03 08:58:00,2025-01-03 15:58:00
D26,C19,2025-01-03 08:37:00,2025-01-03 14:37:00
D42,C20,2025-01-03 08:27:00,2025-01-03 15:27:00
D12,C21,2025-01-03 08:16:00,2025-01-03 17:16:00
D4,C21,2025-01-03 08:20:00,2025-01-03 15:20:00
D21,C22,2025-01-03 08:48:00,2025-01-03 17:48:00
D22,C22,2025-01-03 08:17:00,2025-01-03 17:17:00
D6,C23,2025-01-03 08:01:00,2025-01-03 14:01:00
D31,C23,2025-01-03 09:00:00,2025-01-03 17:00:00
D42,C24,2025-01-03 08:04:00,2025-01-03 14:04:00
D16,C25,2025-01-03 08:12:00,2025-01-03 14:12:00
D16,C1,2025-01-04 08:08:00,2025-01-04 17:08:00
D37,C2,2025-01-04 09:00:00,2025-01-04 16:00:00
D45,C3,2025-01-04 08:49:00,2025-01-04 16:49:00
D17,C3,2025-01-04 08:10:00,2025-01-04 14:10:00
D20,C4,2025-01-04 08:06:00,2025-01-04 14:06:00
D37,C5,2025-01-04 08:58:00,2025-01-04 17:58:00
D44,C5,2025-01-04 08:25:00,2025-01-04 15:25:00
D38,C6,2025-01-04 08:44:00,2025-01-04 15:44:00
D45,C7,2025-01-04 08:49:00,2025-01-04 16:49:00
D37,C8,2025-01-04 08:50:00,2025-01-04 14:50:00
D35,C9,2025-01-04 08:42:00,2025-01-04 16:42:00
D28,C9,2025-01-04 08:04:00,2025-01-04 16:04:00
D27,C10,2025-01-04 08:52:00,2025-01-04 17:52:00
D28,C11,2025-01-04 08:23:00,2025-01-04 17:23:00
D28,C12,2025-01-04 08:11:00,2025-01-04 16:11:00
