driver_id,name,contract_type,weekly_hours_limit,start_working_date
D1,Driver_1,full_time,42,2/1/2010
D2,Driver_2,full_time,32,10/31/2011
D3,Driver_3,part_time,40,7/27/2014
D4,Driver_4,full_time,40,7/13/2014
D5,Driver_5,full_time,30,11/28/2010
D6,Driver_6,full_time,31,4/14/2012
D7,Driver_7,full_time,38,6/8/2010
D8,Driver_8,full_time,41,8/16/2014
D9,Driver_9,part_time,45,9/30/2010
D10,Driver_10,full_time,31,1/10/2012
D11,Driver_11,full_time,30,8/5/2021
D12,Driver_12,part_time,35,7/26/2021
D13,Driver_13,part_time,33,8/10/2015
D14,Driver_14,full_time,38,9/4/2017
D15,Driver_15,full_time,34,11/3/2016
D16,Driver_16,full_time,32,2/25/2021
D17,Driver_17,part_time,42,1/13/2020
D18,Driver_18,full_time,45,2/1/2017
D19,Driver_19,part_time,39,3/15/2016
D20,Driver_20,part_time,43,4/5/2018
D21,Driver_21,full_time,44,8/18/2020
D22,Driver_22,full_time,44,12/16/2016
D23,Driver_23,part_time,38,4/9/2015
D24,Driver_24,part_time,31,10/1/2020
D25,Driver_25,part_time,36,1/4/2015
D26,Driver_26,full_time,30,7/6/2019
D27,Driver_27,full_time,37,7/13/2018
D28,Driver_28,part_time,33,6/22/2015
D29,Driver_29,full_time,41,9/20/2015
D30,Driver_30,full_time,42,10/26/2018
D31,Driver_31,part_time,43,2/3/2018
D32,Driver_32,full_time,30,3/15/2017
D33,Driver_33,part_time,30,12/10/2017
D34,Driver_34,part_time,34,8/25/2021
D35,Driver_35,part_time,32,3/23/2020
D36,Driver_36,full_time,41,6/26/2020
D37,Driver_37,part_time,35,4/15/2022
D38,Driver_38,full_time,32,3/20/2019
D39,Driver_39,part_time,31,10/8/2022
D40,Driver_40,full_time,36,5/9/2023
D41,Driver_41,part_time,32,6/13/2023
D42,Driver_42,part_time,34,5/10/2024
D43,Driver_43,full_time,31,5/9/2023
D44,Driver_44,part_time,37,5/20/2024
D45,Driver_45,full_time,43,12/24/2024
D46,Driver_46,part_time,34,10/20/2024
D47,Driver_47,part_time,35,1/7/2023
D48,Driver_48,full_time,40,3/26/2023
D49,Driver_49,full_time,32,11/1/2024
D50,Driver_50,full_time,38,5/11/2024
