driver_id,car_id,timestamp,event_type,trip_id,trip_type,actual_time_min,actual_dist_km,trip_cost,payment_type,cancellation_reason,cash_collected
D6,C1,1/1/2025 8:59,ONLINE,,,,,,,,
D6,C1,1/1/2025 9:09,TRIP_START,T1,Uber X,,,,,,
D6,C1,1/1/2025 9:27,TRIP_END,T1,Uber X,18,3.48,10.78,cash,,12.94
D6,C1,1/1/2025 9:38,TRIP_CANCELLED,T2,Uber Assist,,,,,by_rider,
D6,C1,1/1/2025 9:48,TRIP_START,T3,Uber Assist,,,,,,
D6,C1,1/1/2025 10:22,TRIP_END,T3,Uber Assist,34,23.24,42.69,cash,,51.23
D6,C1,1/1/2025 10:29,TRIP_START,T4,Uber Assist,,,,,,
D6,C1,1/1/2025 10:40,TRIP_END,T4,Uber Assist,11,5.49,11.79,card,,
D6,C1,1/1/2025 10:47,TRIP_CANCELLED,T5,Uber Pet,,,,,by_driver,
D6,C1,1/1/2025 11:02,TRIP_CANCELLED,T6,Uber Assist,,,,,by_rider,
D6,C1,1/1/2025 11:16,TRIP_START,T7,Uber X,,,,,,
D6,C1,1/1/2025 11:29,TRIP_END,T7,Uber X,13,3.29,9.55,cash,,11.46
D6,C1,1/1/2025 11:40,TRIP_START,T8,Uber Pet,,,,,,
D6,C1,1/1/2025 11:45,TRIP_END,T8,Uber Pet,5,10.52,21.61,card,,
D6,C1,1/1/2025 11:51,TRIP_START,T9,Uber Pet,,,,,,
D6,C1,1/1/2025 12:11,TRIP_END,T9,Uber Pet,20,5.24,17.27,card,,
D6,C1,1/1/2025 12:18,TRIP_START,T10,Uber Assist,,,,,,
D6,C1,1/1/2025 12:35,TRIP_END,T10,Uber Assist,17,9.56,17.87,card,,
D6,C1,1/1/2025 12:44,TRIP_CANCELLED,T11,Uber X,,,,,by_rider,
D6,C1,1/1/2025 12:54,TRIP_START,T12,Uber Pet,,,,,,
D6,C1,1/1/2025 13:13,TRIP_END,T12,Uber Pet,19,5.78,17.86,card,,
D6,C1,1/1/2025 13:25,TRIP_CANCELLED,T13,Uber Pet,,,,,by_driver,
D6,C1,1/1/2025 13:33,TRIP_START,T14,Comfort,,,,,,
D6,C1,1/1/2025 13:38,TRIP_END,T14,Comfort,5,8.29,22.32,card,,
D6,C1,1/1/2025 13:45,TRIP_START,T15,Comfort,,,,,,
D6,C1,1/1/2025 14:16,TRIP_END,T15,Comfort,31,21.62,64.23,cash,,77.08
D6,C1,1/1/2025 14:31,TRIP_START,T16,Uber Assist,,,,,,
D6,C1,1/1/2025 14:42,TRIP_END,T16,Uber Assist,11,10.32,17.58,cash,,21.1
D6,C1,1/1/2025 14:55,TRIP_START,T17,Uber Assist,,,,,,
D6,C1,1/1/2025 15:17,TRIP_END,T17,Uber Assist,22,16.58,32.3,card,,
D6,C1,1/1/2025 15:24,TRIP_START,T18,Uber Assist,,,,,,
D6,C1,1/1/2025 15:38,TRIP_END,T18,Uber Assist,14,3.01,,card,,
D6,C1,1/1/2025 15:59,OFFLINE,,,,,,,,
D27,C2,1/1/2025 8:31,ONLINE,,,,,,,,
D27,C2,1/1/2025 8:41,TRIP_START,T19,Uber X,,,,,,
D27,C2,1/1/2025 8:53,TRIP_END,T19,Uber X,12,10.21,17.65,cash,,21.18
D27,C2,1/1/2025 9:03,TRIP_CANCELLED,T20,Comfort,,,,,by_rider,
D27,C2,1/1/2025 9:17,TRIP_CANCELLED,T21,Comfort,,,,,by_rider,
D27,C2,1/1/2025 9:26,TRIP_START,T22,Uber X,,,,,,
D27,C2,1/1/2025 9:32,TRIP_END,T22,Uber X,6,5.38,10.66,card,,
D27,C2,1/1/2025 9:37,TRIP_START,T23,Comfort,,,,,,
D27,C2,1/1/2025 9:52,TRIP_END,T23,Comfort,15,11.24,31.18,card,,
D27,C2,1/1/2025 10:06,TRIP_START,T24,Comfort,,,,,,
D27,C2,1/1/2025 10:27,TRIP_END,T24,Comfort,21,15.19,48.68,cash,,58.42
D27,C2,1/1/2025 10:41,TRIP_START,T25,Uber X,,,,,,
D27,C2,1/1/2025 11:16,TRIP_END,T25,Uber X,35,24.2,44.04,card,,
D27,C2,1/1/2025 11:28,TRIP_START,T26,Uber X,,,,,,
D27,C2,1/1/2025 11:44,TRIP_END,T26,Uber X,16,6.32,13.78,card,,
D27,C2,1/1/2025 11:49,TRIP_START,T27,Uber Assist,,,,,,
D27,C2,1/1/2025 12:00,TRIP_END,T27,Uber Assist,11,7.34,14.01,card,,
D27,C2,1/1/2025 12:05,TRIP_START,T28,Uber Assist,,,,,,
D27,C2,1/1/2025 12:22,TRIP_END,T28,Uber Assist,17,8.95,17.14,cash,,11.2
D27,C2,1/1/2025 12:28,TRIP_CANCELLED,T29,Uber X,,,,,by_rider,
D27,C2,1/1/2025 12:36,TRIP_CANCELLED,T30,Comfort,,,,,by_rider,
D27,C2,1/1/2025 12:44,TRIP_START,T31,Uber Assist,,,,,,
D27,C2,1/1/2025 13:06,TRIP_END,T31,Uber Assist,22,10.85,25.42,card,,
D27,C2,1/1/2025 13:16,TRIP_START,T32,Uber Pet,,,,,,
