date,driver_id,car_id,seconds_above_15kmh,g_events,seatbelt_alarm_seconds,end_odometer_km
1/1/2025,D6,C1,7248,0,0,11477
1/1/2025,D27,C2,12832,3,60,14012
1/1/2025,D26,C3,10225,0,60,16578
1/1/2025,D25,C4,14983,4,0,16130
1/1/2025,D30,C5,11748,4,0,10815
1/1/2025,D19,C5,6075,0,0,18819
1/1/2025,D14,C6,12221,2,40,12083
1/1/2025,D4,C6,9136,2,0,15990
1/1/2025,D4,C7,8979,3,60,10373
1/1/2025,D4,C8,8070,3,0,18644
1/1/2025,D5,C9,11430,5,0,11109
1/1/2025,D26,C10,14689,3,0,19955
1/1/2025,D40,C11,7448,0,0,12352
1/1/2025,D17,C12,8447,3,40,18845
1/1/2025,D14,C12,11805,1,40,16766
1/1/2025,D9,C13,11196,3,60,16057
1/1/2025,D43,C13,13132,0,0,11400
1/1/2025,D1,C14,13918,1,0,10072
1/1/2025,D35,C15,11546,0,40,13553
1/1/2025,D23,C16,8184,0,0,12748
1/1/2025,D24,C17,6495,3,40,19022
1/1/2025,D35,C18,13997,4,60,17565
1/1/2025,D46,C18,9627,0,0,18439
1/1/2025,D9,C19,9229,4,40,18577
1/1/2025,D48,C20,14071,5,40,15318
1/1/2025,D19,C21,6539,1,40,15274
1/1/2025,D39,C21,9620,3,0,11805
1/1/2025,D17,C22,8515,2,0,17581
1/1/2025,D4,C22,8694,3,0,11495
1/1/2025,D1,C23,8712,2,0,11053
1/1/2025,D11,C24,10392,5,0,19460
1/1/2025,D48,C24,7628,0,0,11508
1/1/2025,D5,C25,8775,5,0,19755
1/2/2025,D24,C1,11777,5,0,11324
1/2/2025,D9,C2,8885,3,0,19720
1/2/2025,D3,C2,13711,1,0,15299
1/2/2025,D14,C3,12711,5,60,12902
1/2/2025,D44,C3,14312,4,60,11926
1/2/2025,D16,C4,6152,5,40,11541
1/2/2025,D27,C5,8064,0,0,17192
1/2/2025,D27,C6,11385,5,40,15407
1/2/2025,D43,C6,13063,0,40,17748
1/2/2025,D25,C7,8922,2,0,17845
1/2/2025,D15,C8,14944,4,60,18683
1/2/2025,D13,C8,6364,1,60,18524
1/2/2025,D15,C9,10373,5,0,16938
1/2/2025,D22,C10,11995,3,0,13552
1/2/2025,D18,C10,6588,2,0,15371
1/2/2025,D42,C11,13154,2,40,10413
1/2/2025,D33,C11,13328,1,0,15397
1/2/2025,D17,C12,10769,2,0,18323
1/2/2025,D7,C13,6070,2,40,18090
1/2/2025,D47,C14,6987,1,0,11997
1/2/2025,D21,C14,11911,1,60,18254
1/2/2025,D3,C15,14425,3,0,13033
1/2/2025,D46,C15,14278,2,40,13951
1/2/2025,D28,C16,6762,1,0,19941
1/2/2025,D5,C16,12677,4,60,14281
1/2/2025,D47,C17,12727,2,0,10134
1/2/2025,D43,C18,6371,3,0,18279
1/2/2025,D27,C18,13613,4,0,10351
1/2/2025,D13,C19,11527,2,0,17725
1/2/2025,D40,C20,11157,4,0,16582
1/2/2025,D36,C21,7606,2,0,19659
1/2/2025,D1,C21,12070,0,60,15553
1/2/2025,D30,C22,12261,0,0,19182
1/2/2025,D29,C22,7049,4,40,16244
1/2/2025,D43,C23,10810,5,0,11585
1/2/2025,D6,C24,12378,3,0,15683
1/2/2025,D49,C24,12663,1,0,19347
1/2/2025,D2,C25,9494,5,40,17960
1/3/2025,D40,C1,12143,3,0,12276
1/3/2025,D50,C1,9944,4,0,16954
1/3/2025,D32,C2,13422,4,0,14484
1/3/2025,D26,C2,6140,5,0,18467
1/3/2025,D50,C3,12871,3,40,19522
1/3/2025,D45,C4,11532,4,40,10822
1/3/2025,D36,C5,9293,5,0,12408
1/3/2025,D9,C6,10995,4,0,14911
1/3/2025,D30,C6,14757,3,0,15715
1/3/2025,D36,C7,7273,3,0,13813
1/3/2025,D29,C7,10745,1,0,10307
1/3/2025,D17,C8,6192,5,40,14642
1/3/2025,D49,C8,8426,2,40,15555
1/3/2025,D18,C9,11812,3,60,14680
1/3/2025,D16,C10,6837,1,0,19833
1/3/2025,D18,C10,14192,4,40,13074
1/3/2025,D10,C11,6852,1,60,13303
1/3/2025,D46,C12,7948,1,0,12782
1/3/2025,D27,C13,9577,1,40,15747
1/3/2025,D22,C13,10134,5,40,13001
1/3/2025,D27,C14,14137,4,0,13077
1/3/2025,D31,C15,7854,5,0,15985
1/3/2025,D1,C15,14555,5,0,14972
1/3/2025,D35,C16,12686,3,0,16742
1/3/2025,D48,C16,11671,4,0,18501
1/3/2025,D28,C17,12352,2,0,16792
1/3/2025,D32,C17,9227,4,60,11410
1/3/2025,D30,C18,11154,5,0,20023
1/3/2025,D26,C19,7047,1,0,16603
1/3/2025,D42,C20,14284,5,0,13800
1/3/2025,D12,C21,13611,4,0,12488
1/3/2025,D4,C21,7083,5,60,18298
1/3/2025,D21,C22,9235,0,0,12014
1/3/2025,D22,C22,10679,5,0,15453
1/3/2025,D6,C23,8256,4,0,10949
1/3/2025,D31,C23,10024,5,0,16502
1/3/2025,D42,C24,10006,2,0,11777
1/3/2025,D16,C25,11686,4,0,19762
1/4/2025,D16,C1,12380,3,60,17469
1/4/2025,D37,C2,13248,1,0,14601
1/4/2025,D45,C3,14693,3,0,13594
1/4/2025,D17,C3,8730,5,0,11877
1/4/2025,D20,C4,10148,3,0,14793
1/4/2025,D37,C5,11818,2,40,15912
1/4/2025,D44,C5,6069,2,0,14769
1/4/2025,D38,C6,14344,5,0,18433
1/4/2025,D45,C7,9285,1,40,13957
1/4/2025,D37,C8,13593,4,0,10256
1/4/2025,D35,C9,10728,4,40,18988
1/4/2025,D28,C9,10123,2,60,17229
1/4/2025,D27,C10,13067,3,40,13021
1/4/2025,D28,C11,14988,3,0,18322
1/4/2025,D28,C12,7344,5,0,11105
1/4/2025,D30,C13,13478,1,60,15506
1/4/2025,D28,C13,9361,1,60,12609
1/4/2025,D18,C14,7274,2,60,19096
1/4/2025,D49,C15,11646,3,0,20039
1/4/2025,D2,C16,9205,4,60,11257
1/4/2025,D32,C16,14966,3,40,12640
1/4/2025,D23,C17,8293,3,0,13443
1/4/2025,D18,C18,13523,0,0,17358
1/4/2025,D39,C18,11250,0,0,19272
1/4/2025,D6,C19,14591,5,60,17427
1/4/2025,D36,C20,14696,5,0,10655
1/4/2025,D49,C20,6535,1,0,12265
1/4/2025,D2,C21,13370,4,40,14302
1/4/2025,D6,C21,8626,5,40,14871
1/4/2025,D43,C22,12765,4,40,18104
1/4/2025,D38,C22,7652,0,0,17434
1/4/2025,D48,C23,8589,2,60,19809
1/4/2025,D36,C23,11884,2,60,11865
1/4/2025,D20,C24,9410,3,0,12625
